,Title,Monitor,Processor,RAM,Dysk,GPU,System,Prices
172,DELL XPS 13 7390 FHD i5-10210U,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR3,"M.2 PCIe , 512 GB",Intel UHD,Windows 10 Home PL,5849
173,DELL XPS 13 9300 FHD+ i5-1035G1,"13.4"" (1920 x 1200)",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , 512 GB",Intel UHD,Windows 10 Home PL,6999
174,DELL XPS 13 9305 FHD i7-1165G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,6999
175,DELL XPS 13 9310 UHD+ Dotykowy i7-1185G7,"13.4"" (3840 x 2400 (UHD+))",Intel® Core™ i7-1185G7,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",Intel Iris Xe,Windows 10 Home PL,9899
176,DELL XPS 15 9500 FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"M.2 PCIe , 512 GB",Intel UHD,Windows 10 Home PL,7999
177,DELL XPS 15 9500 UHD+ i9-10885H,"15.6"" (3840 x 2400 (UHD+))",Intel® Core™ i9-10885H,64 GB DDR4,"M.2 PCIe , 2 TB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Windows 10 Home PL,17999
178,HP 14-dk0009nw FHD Ryzen 3 3200U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 3 3200U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 3,Windows 10 Home PL,2299
179,HP 14-dk0032nw FHD Ryzen 7 3700U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2799
180,HP 14s-dq0022nw HD Celeron N4020,"14"" (1366 x 768 (HD))",Intel® Celeron® N4020,4 GB DDR4,"M.2 Sata , 128 GB",Intel UHD 600,Windows 10 Home (w wersji S),1799
181,HP 14s-fq0012nw FHD Athlon Silver 3050U,"14"" (1920 x 1080 (Full HD))",AMD Athlon™ Silver 3050U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",AMD Radeon,Windows 10 Home PL,2149
182,HP 14s-fq0023nw FHD Ryzen 3 3250U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen 3 3250U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,2299
183,HP 15-db1061nw FHD Ryzen 5 3500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,2599
184,HP 15-db1066nw FHD Ryzen 7 3700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2949
185,HP 15-db1067nw FHD Ryzen 5 3500,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 3500U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon Vega 8,Windows 10 Home PL,3199
186,HP 15-ra073nw N3060,"15.6"" (1366 x 768 (HD))",Intel® Celeron® N3060,4 GB DDR3,500 GB,Intel HD,Windows 10 Home PL,897
187,HP 15s-eq0032nw FHD Ryzen 7 3700U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,2497
