,Title,GPU,RAM,Processor,Monitor,System,Prices
1702,Dell Vostro 5502 (N7003VN5502EMEA01_2105),Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4264.37
1703,Dell Vostro 5502 (N7003VN5502EMEA01_2105_hom),Brak,16 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Home,5023.94
1704,Dell Vostro 5502 (N7003VN5502EMEA01_2105_ubu),Brak,16 GB,Intel Core i5-1135G7,"15.6""",Linux,4611.95
1705,Dell Vostro 7500,NVIDIA GeForce GTX 1650,8 GB,Intel Core i5-10300H,"15.6""",Windows 10 Pro,4893.8
1706,Dell Vostro 7500 (N004VN7500EMEA01_2105),NVIDIA GeForce GTX 1650,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,6768.99
1707,Dell Vostro 7500 (N6010PVN7500EMEA01_2105),NVIDIA GeForce GTX 1650,16 GB,Intel Core i5-10300H,"15.6""",Windows 10 Pro,5790.0
1708,Dell Vostro 7590,NVIDIA GeForce GTX 1050,8 GB,Intel Core i5-9300H,"15.6""",Windows 10 Pro,4240.09
1709,Dell Vostro 7590 (N005VN7590EMEA01_2101),NVIDIA GeForce GTX 1050,8 GB,Intel Core i5-9300H,"15.6""",Windows 10 Pro,4673.99
1710,Dell Vostro 7590 (N005VN7590EMEA01_2101),NVIDIA GeForce GTX 1050,8 GB,Intel Core i5-9300H,"15.6""",Windows 10 Pro,4914.99
1711,Dell XPS 13 7390 (7390-1688),Brak,16 GB,Intel Core i7-10710U,"13.3""",Windows 10 Home,7599.0
1712,Dell XPS 13 7390 (7390-8421),Brak,8 GB,Intel Core i5-10210U,"13.3""",Windows 10 Home,5199.0
1713,Dell XPS 13 9300,Brak,16 GB,Intel Core i7-1065G7,"13.3""",Windows 10 Home,6670.0
1714,Dell XPS 13 9305 (9305-5307),Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,6890.0
1715,Dell XPS 13 9305 (9305-5314),Brak,16 GB,Intel Core i7-1165G7,"13.3""",Windows 10 Pro,8335.08
1716,Dell XPS 13 9305 (9305-5321),Brak,16 GB,Intel Core i7-1165G7,"13.3""",Windows 10 Pro,7365.08
1717,Dell XPS 13 9305 (9305-5338),Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,7790.0
1718,Dell XPS 13 9305 (9305-6544),Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,6390.0
1719,Dell XPS 13 9305 (9305-6575),Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,7390.0
1720,Dell XPS 13 9310 (273465285),Brak,8 GB,Intel Core i5-1135G7,"13.4""",Linux,10100.56
1721,Dell XPS 13 9310 (9310-3215),Brak,8 GB,Intel Core i5-1135G7,"13.4""",Windows 10 Home,6999.0
1722,Dell XPS 15 9500 (9500-5752),NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,10567.99
1723,Dell XPS 15 9500 (9500-5776),NVIDIA GeForce GTX 1650 Ti,32 GB,Intel Core i9-10885H,"15.6""",Windows 10 Pro,16031.32
1724,Dell XPS 15 9500 (9500-5776),NVIDIA GeForce GTX 1650 Ti,32 GB,Intel Core i9-10885H,"15.6""",Windows 10 Pro,14506.66
1725,Dell XPS 15 9500 (9500-7138),NVIDIA GeForce GTX 1650 Ti Max-Q,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,11999.0
1726,Dell XPS 15 9500 (9500-7152),NVIDIA GeForce GTX 1650 Ti Max-Q,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,12390.0
1727,Dell XPS 15 9500 (9500-7176),NVIDIA GeForce GTX 1650 Ti Max-Q,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,12190.0
1728,Dell XPS 15 9500 (9500-7190),NVIDIA GeForce GTX 1650 Ti Max-Q,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,12890.0
1729,Dell XPS 17 9700 (9700-7275),NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"17.3""",Windows 10 Pro,12455.99
1730,Dell XPS 17 9700 (9700-7312),NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"17.3""",Windows 10 Pro,13422.51
1731,Dell XPS 17 9700 (9700-7350),NVIDIA GeForce RTX 2060 Max-Q,32 GB,Intel Core i7-10875H,"17.3""",Windows 10 Pro,15366.31
1732,Dream Machines G1060-17PL49 8 GB RAM,NVIDIA GeForce GTX 1060,8 GB,Intel Core i7-8750H,"17.3""",Windows 10 Home,3760.05
1733,Dream Machines G1650-14PL30,NVIDIA GeForce GTX 1650,8 GB,Intel Core i3-1115G4,"14""",Brak,3199.0
1734,Dream Machines G1650-14PL32,NVIDIA GeForce GTX 1650,16 GB,Intel Core i3-1115G4,"14""",Brak,3499.0
1735,Dream Machines G1650-14PL50,NVIDIA GeForce GTX 1650,8 GB,Intel Core i5-1135G7,"14""",Brak,3799.0
1736,Dream Machines G1650-14PL52,NVIDIA GeForce GTX 1650,16 GB,Intel Core i5-1135G7,"14""",Brak,4099.0
1737,Dream Machines G1650-14PL55,NVIDIA GeForce GTX 1650,8 GB,Intel Core i7-1165G7,"14""",Brak,4399.0
1738,Dream Machines G1650-14PL57,NVIDIA GeForce GTX 1650,16 GB,Intel Core i7-1165G7,"14""",Brak,4699.0
1739,Dream Machines G1650-15PL55,NVIDIA GeForce GTX 1650,8 GB,Intel Core i7-10750H,"15.6""",Brak,3699.0
1740,Dream Machines G1650Ti-14PL30,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i3-1115G4,"14""",Brak,3399.0
1741,Dream Machines G1650Ti-14PL32,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i3-1115G4,"14""",Brak,3699.0
1742,Dream Machines G1650Ti-14PL50,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i5-1135G7,"14""",Brak,3999.0
1743,Dream Machines G1650Ti-14PL52,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i5-1135G7,"14""",Brak,4299.0
1744,Dream Machines G1650Ti-14PL55,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-1165G7,"14""",Brak,4599.0
1745,Dream Machines G1650Ti-14PL57,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-1165G7,"14""",Brak,4899.0
1746,Dream Machines G1650Ti-15PL53,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i5-10200H,"15.6""",Brak,3299.0
1747,Dream Machines G1650Ti-15PL54,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i5-10200H,"15.6""",Brak,3799.0
1748,Dream Machines G1650Ti-15PL55,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Brak,3899.0
1749,Dream Machines G1650Ti-15PL55 16 GB RAM,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Home,5395.77
1750,Dream Machines G1650Ti-15PL55 16 GB RAM,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Home,4855.12
1751,Dream Machines G1650Ti-15PL55 16 GB RAM,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Brak,4897.18
1752,Dream Machines G1650Ti-15PL55 16 GB RAM,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Brak,4356.52
1753,Dream Machines G1650Ti-15PL55 16 GB RAM,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,5544.8
1754,Dream Machines G1650Ti-15PL55 16 GB RAM,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,5004.14
1755,Dream Machines G1650Ti-15PL55 8 GB RAM,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,5363.89
1756,Dream Machines G1650Ti-15PL55 8 GB RAM,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Windows 10 Home,4674.21
1757,Dream Machines G1650Ti-15PL55 8 GB RAM,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Windows 10 Home,5214.86
1758,Dream Machines G1650Ti-15PL55 8 GB RAM,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Windows 10 Pro,4823.23
1759,Dream Machines G1650Ti-15PL55 8 GB RAM,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Brak,4716.27
1760,Dream Machines G1650Ti-15PL58,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i7-10750H,"15.6""",Brak,4099.0
1761,Dream Machines G1650Ti-15PL63,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i5-10300H,"15.6""",Brak,3717.17
1762,Dream Machines G1650Ti-15PL68,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"15.6""",Brak,4399.0
1763,Dream Machines G1650Ti-17PL58,NVIDIA GeForce GTX 1650 Ti,16 GB,Intel Core i7-10750H,"17.3""",Brak,4899.0
1764,Dream Machines Laptop G1650Ti-15PL53 ,NVIDIA GeForce GTX 1650 Ti,8 GB,Intel Core i5-10200H,"15.6""",Windows 10 Pro,3899.0
